beta: 24.6997sec, alpha:  6.3864sec, calc: 260949 / 499500
beta: 23.5271sec, alpha:  6.0266sec, calc: 247099 / 499500
beta: 23.9580sec, alpha:  6.1506sec, calc: 251223 / 499500
beta: 24.4241sec, alpha:  6.2901sec, calc: 256159 / 499500
beta: 24.1427sec, alpha:  6.2190sec, calc: 253560 / 499500
beta: 24.3396sec, alpha:  6.2686sec, calc: 255617 / 499500
beta: 24.5948sec, alpha:  6.3398sec, calc: 258386 / 499500
beta: 25.2386sec, alpha:  6.5099sec, calc: 265298 / 499500
beta: 24.4750sec, alpha:  6.3219sec, calc: 257154 / 499500
beta: 24.3369sec, alpha:  6.2595sec, calc: 255362 / 499500
beta: 24.2649sec, alpha:  6.2598sec, calc: 255044 / 499500
beta: 24.3525sec, alpha:  6.2423sec, calc: 254855 / 499500
beta: 25.1812sec, alpha:  6.4558sec, calc: 263753 / 499500
beta: 23.6403sec, alpha:  6.0630sec, calc: 247732 / 499500
beta: 24.0137sec, alpha:  6.1647sec, calc: 251479 / 499500
beta: 24.9939sec, alpha:  6.4099sec, calc: 261992 / 499500
beta: 24.7744sec, alpha:  6.3656sec, calc: 259904 / 499500
beta: 24.2564sec, alpha:  6.2478sec, calc: 254892 / 499500
beta: 24.9014sec, alpha:  6.4227sec, calc: 261757 / 499500
beta: 24.5999sec, alpha:  6.3262sec, calc: 258592 / 499500
beta: 24.0846sec, alpha:  6.2028sec, calc: 253109 / 499500
beta: 24.6520sec, alpha:  6.3459sec, calc: 258615 / 499500
beta: 24.5804sec, alpha:  6.3024sec, calc: 257772 / 499500
beta: 25.7518sec, alpha:  6.5970sec, calc: 270207 / 499500
beta: 24.9644sec, alpha:  6.4334sec, calc: 262259 / 499500
beta: 24.6871sec, alpha:  6.3693sec, calc: 259405 / 499500
beta: 25.0660sec, alpha:  6.4638sec, calc: 263431 / 499500
beta: 25.3550sec, alpha:  6.5161sec, calc: 266358 / 499500
beta: 24.4673sec, alpha:  6.3183sec, calc: 257750 / 499500
beta: 24.0946sec, alpha:  6.2084sec, calc: 253783 / 499500
beta: 24.0997sec, alpha:  6.2130sec, calc: 253331 / 499500
beta: 24.9160sec, alpha:  6.4388sec, calc: 262476 / 499500
beta: 23.4764sec, alpha:  6.0587sec, calc: 246790 / 499500
beta: 24.3589sec, alpha:  6.2704sec, calc: 255652 / 499500
beta: 24.5825sec, alpha:  6.3289sec, calc: 258054 / 499500
beta: 24.3569sec, alpha:  6.2909sec, calc: 255989 / 499500
beta: 25.7040sec, alpha:  6.6098sec, calc: 269851 / 499500
beta: 24.3321sec, alpha:  6.2525sec, calc: 255465 / 499500
beta: 25.0362sec, alpha:  6.4340sec, calc: 263058 / 499500
beta: 24.8746sec, alpha:  6.4000sec, calc: 261396 / 499500
beta: 24.8808sec, alpha:  6.4197sec, calc: 261005 / 499500
beta: 25.2031sec, alpha:  6.4911sec, calc: 265349 / 499500
beta: 24.3813sec, alpha:  6.2756sec, calc: 256413 / 499500
beta: 24.4813sec, alpha:  6.3065sec, calc: 257662 / 499500
beta: 24.6313sec, alpha:  6.3680sec, calc: 259158 / 499500
beta: 24.5681sec, alpha:  6.3264sec, calc: 258168 / 499500
beta: 24.6322sec, alpha:  6.3475sec, calc: 259267 / 499500
beta: 24.5069sec, alpha:  6.2927sec, calc: 257842 / 499500
beta: 25.4455sec, alpha:  6.5517sec, calc: 267906 / 499500
beta: 24.3853sec, alpha:  6.2845sec, calc: 256691 / 499500
beta: 25.2505sec, alpha:  6.5041sec, calc: 265497 / 499500
beta: 24.3498sec, alpha:  6.2484sec, calc: 255649 / 499500
beta: 25.6434sec, alpha:  6.6109sec, calc: 269128 / 499500
beta: 24.5926sec, alpha:  6.3204sec, calc: 258273 / 499500
beta: 24.8397sec, alpha:  6.3858sec, calc: 260850 / 499500
beta: 26.0513sec, alpha:  6.7031sec, calc: 273708 / 499500
beta: 25.4687sec, alpha:  6.5479sec, calc: 267305 / 499500
beta: 25.1559sec, alpha:  6.4753sec, calc: 264277 / 499500
beta: 24.4445sec, alpha:  6.2911sec, calc: 256743 / 499500
beta: 25.2974sec, alpha:  6.5134sec, calc: 265832 / 499500
beta: 25.2836sec, alpha:  6.5187sec, calc: 266159 / 499500
beta: 25.1798sec, alpha:  6.4895sec, calc: 264683 / 499500
beta: 25.0699sec, alpha:  6.4520sec, calc: 262987 / 499500
beta: 25.6347sec, alpha:  6.6003sec, calc: 269316 / 499500
beta: 24.9098sec, alpha:  6.4235sec, calc: 261790 / 499500
beta: 25.5451sec, alpha:  6.5697sec, calc: 268181 / 499500
beta: 25.2453sec, alpha:  6.5026sec, calc: 265382 / 499500
beta: 24.9456sec, alpha:  6.4225sec, calc: 262044 / 499500
beta: 25.3604sec, alpha:  6.5250sec, calc: 266289 / 499500
beta: 25.4636sec, alpha:  6.5354sec, calc: 267262 / 499500
beta: 25.6419sec, alpha:  6.5961sec, calc: 269064 / 499500
beta: 24.6071sec, alpha:  6.3372sec, calc: 258580 / 499500
beta: 24.9105sec, alpha:  6.4181sec, calc: 261722 / 499500
beta: 24.6496sec, alpha:  6.3490sec, calc: 259053 / 499500
beta: 24.7364sec, alpha:  6.3653sec, calc: 259276 / 499500
beta: 24.5464sec, alpha:  6.3112sec, calc: 257115 / 499500
beta: 25.0208sec, alpha:  6.4226sec, calc: 262152 / 499500
beta: 24.3641sec, alpha:  6.2706sec, calc: 255691 / 499500
beta: 24.5920sec, alpha:  6.3491sec, calc: 258079 / 499500
beta: 24.8886sec, alpha:  6.4083sec, calc: 261260 / 499500
beta: 25.6039sec, alpha:  6.6028sec, calc: 268854 / 499500
beta: 24.9732sec, alpha:  6.4071sec, calc: 262054 / 499500
beta: 24.4409sec, alpha:  6.3049sec, calc: 256758 / 499500
beta: 24.8462sec, alpha:  6.3892sec, calc: 260863 / 499500
beta: 25.1573sec, alpha:  6.4677sec, calc: 264340 / 499500
beta: 24.9548sec, alpha:  6.4115sec, calc: 261939 / 499500
beta: 24.8159sec, alpha:  6.3870sec, calc: 260807 / 499500
beta: 24.9100sec, alpha:  6.4165sec, calc: 262127 / 499500
beta: 25.2968sec, alpha:  6.4958sec, calc: 265835 / 499500
beta: 24.6925sec, alpha:  6.3357sec, calc: 259412 / 499500
beta: 24.8394sec, alpha:  6.3932sec, calc: 260824 / 499500
beta: 24.7135sec, alpha:  6.3629sec, calc: 260253 / 499500
beta: 23.8073sec, alpha:  6.1209sec, calc: 250054 / 499500
beta: 24.8084sec, alpha:  6.3826sec, calc: 260868 / 499500
beta: 25.1154sec, alpha:  6.4616sec, calc: 263719 / 499500
beta: 23.7448sec, alpha:  6.0895sec, calc: 249427 / 499500
beta: 24.6371sec, alpha:  6.3384sec, calc: 258866 / 499500
beta: 25.3162sec, alpha:  6.5222sec, calc: 265803 / 499500
beta: 26.0420sec, alpha:  6.7142sec, calc: 273849 / 499500
beta: 25.1401sec, alpha:  6.4917sec, calc: 264669 / 499500
beta: 24.7123sec, alpha:  6.3553sec, calc: 259617 / 499500
beta: 24.4430sec, alpha:  6.2806sec, calc: 256916 / 499500
beta: 25.3425sec, alpha:  6.5425sec, calc: 266526 / 499500
beta: 24.8280sec, alpha:  6.3829sec, calc: 260874 / 499500
beta: 25.1166sec, alpha:  6.4457sec, calc: 263875 / 499500
beta: 24.9937sec, alpha:  6.4236sec, calc: 262290 / 499500
beta: 25.6959sec, alpha:  6.6339sec, calc: 270346 / 499500
beta: 24.7775sec, alpha:  6.3894sec, calc: 260497 / 499500
beta: 25.0592sec, alpha:  6.4464sec, calc: 262997 / 499500
beta: 24.8265sec, alpha:  6.3979sec, calc: 260620 / 499500
beta: 25.1611sec, alpha:  6.4739sec, calc: 264411 / 499500
beta: 25.3316sec, alpha:  6.5315sec, calc: 266768 / 499500
beta: 25.7747sec, alpha:  6.6460sec, calc: 270615 / 499500
beta: 25.8037sec, alpha:  6.6254sec, calc: 271077 / 499500
beta: 24.9279sec, alpha:  6.4037sec, calc: 261734 / 499500
beta: 25.1151sec, alpha:  6.4267sec, calc: 263616 / 499500
beta: 24.8081sec, alpha:  6.4020sec, calc: 260439 / 499500
beta: 24.7527sec, alpha:  6.3769sec, calc: 260154 / 499500
beta: 24.4874sec, alpha:  6.3149sec, calc: 257473 / 499500
beta: 24.9621sec, alpha:  6.4518sec, calc: 262806 / 499500
beta: 24.9913sec, alpha:  6.4286sec, calc: 262917 / 499500
beta: 25.8875sec, alpha:  6.6621sec, calc: 272121 / 499500
beta: 25.5267sec, alpha:  6.5655sec, calc: 268529 / 499500
beta: 24.6427sec, alpha:  6.3420sec, calc: 259072 / 499500
beta: 24.2730sec, alpha:  6.2593sec, calc: 254922 / 499500
